EGM_ID,WYGF_ID,River_Mile,Tributary,Temporal.Event,Species,Date,Length,Weight,Sex,Maturity,raw,assembled,q,big_Q,PC1,PC2,PC3,PC4,missing_prop,group
EGM18_0080,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.1,1.93,M,Ripe,914247,747504,5.73797848445794e-06,8.50939722085091e-06,-0.0154026,-0.0197524,0.0225029,-0.0285687,0.170859277708593,2
EGM18_0081,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,15.9,1.06,M,Ripe,814113,634531,2.00106061927194e-06,1.52522049338685e-06,-0.0402569,0.0226474,0.0299066,0.0316591,0.203486924034869,3
EGM18_0082,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.3,1.66,M,Ripe,793957,628666,3.14624850027324e-06,2.95892351465141e-06,-0.0077757,-0.074571,0.0441195,0.0201198,0.185139061851391,1
EGM18_0083,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.5,2.78,M,Ripe,668559,534710,2.44061313120149e-06,1.94689874675231e-06,-0.033432,-0.0171856,0.0367311,0.0293395,0.237193856371939,2
EGM18_0084,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,16.4,1.23,M,Ripe,1110350,868966,2.45337250928721e-06,2.49482819436745e-06,-0.0236563,0.0287935,0.0557944,0.0422599,0.15101701951017,3
EGM18_0085,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.5,1.74,M,Ripe,787460,618852,8.27389138417216e-05,0.000162390422060707,-0.00727,-0.0844081,0.0424378,0.0050464,0.228642590286426,1
EGM18_0086,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.2,1.98,M,Ripe,1080830,877430,2.1792193734814e-06,1.71988524352152e-06,-0.003518,-0.0041616,-0.0032593,0.0052037,0.136156081361561,2
EGM18_0087,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.3,2.4,M,Ripe,1004083,832371,2.0510216473642e-06,1.58219901398197e-06,-0.0092387,0.0375274,0.022909,-0.015251,0.152760481527605,3
EGM18_0088,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.8,2.6,M,Ripe,1498057,1224785,1.76533372510298e-06,1.24739994415726e-06,0.0578894,-0.0564661,-0.0149889,0.0481311,0.0987961809879618,1
EGM18_0089,SAR_18_07,9.5-10.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.6,2.36,F,Green,1128669,916749,2.36098938620496e-06,2.61040012711157e-06,0.0075489,-0.0159837,0.0471384,-0.0001166,0.125861353258614,2
EGM18_0095,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,18.3,1.81,M,Ripe,1188645,925068,4.63380896138702e-06,7.0219498298668e-06,-0.0181752,0.040377,0.0773904,0.0086027,0.133665421336654,3
EGM18_0096,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.4,2.1,M,Ripe,924039,721581,1.15709013760343e-05,1.88258676469164e-05,0.0081519,-0.0616042,0.0440494,0.0359129,0.160481527604815,1
EGM18_0097,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,19.1,1.84,M,Ripe,932675,741491,0.00108170781216621,0.00216092600719515,-0.0147914,-0.008097,0.022637,-0.0029318,0.150103777501038,2
EGM18_0098,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,20.3,2.52,M,Ripe,532034,424271,1.50195824093163e-05,2.4908958124229e-05,-0.0519648,0.011058,0.013168,-0.0144268,0.298381070983811,3
EGM18_0099,SAR_18_08,6.7-8.5,Bighorn River,Pre-Spawn ,SAR,5/2/2018,21.6,3.86,F,Green,553048,447337,2.78029403924923e-06,2.98354309381186e-06,-0.0208889,-0.0871968,0.0159116,-0.0082288,0.27181403071814,1
